ID,hamming_cluster
20120402121644,5
20090908092465,5
20070907072466,6
20030605032223,5
20110808110820,5
20121111120555,6
20171110170833,2
20140503140040,1
20041211041597,5
20170605170667,6
20180909182405,3
20040605041430,1
20090402091913,2
20080605081874,6
20181009182315,2
20180302180670,5
20041009040947,5
20030807032075,1
20150201150656,2
20040301041079,3
20110808111163,1
20181210182370,6
20150302152008,3
20180201181408,1
20121009120607,2
20150807150001,6
20080504081420,2
20170504170161,5
20080605080038,6
20130807131622,2
20170604171294,4
20150909151586,5
20081211081673,1
20081211081876,1
20070706071006,1
20030101033414,6
20180212171451,2
20090302091270,1
20151210151003,5
20051111050839,5
20110908112076,2
20030706033156,4
20101110101368,3
20150808151990,1
20130807131758,1
20050111041257,2
20090112080712,3
20170302171977,6
20110605111179,2
20141211141343,6
20180603180849,5
20111009112207,2
20070706072094,6
20040504041073,6
20141211141453,1
20091111090549,6
20070908071609,2
20150807151287,5
20031211031628,5
20040908042063,6
20110605110958,1
20030112022264,1
20100201100758,2
20120807122026,5
20090201091976,5
20140807141773,1
20140605142412,1
20170907172314,2
20041010041525,6
20061211060546,2
20170504170047,5
20131211131909,5
20130908132229,4
20170706172504,6
20070403072291,1
20130807132498,1
20050907052087,6
20121109122151,2
20150807151341,2
20170707170138,1
20100504100126,3
20080605081681,6
20080202081646,1
20090201092028,5
20180908181131,1
20160806160526,6
20121212121753,5
20161109162188,1
20130605130563,6
20130403131256,6
20090301091058,6
20151009151017,6
20040605041847,1
20070302071199,1
20130112121433,2
20091009090676,1
20150706151255,6
20160201161096,1
20130808130824,6
20100404101945,3
20071211070951,6
20180403182119,2
20161110161870,6
20110605110908,6
20031110032107,2
20060302062313,1
20140605141619,1
20181110180916,1
20161009161703,5
20041211042087,1
20120112112301,2
20120302120995,1
20030706032063,2
20030605030191,2
20180705180138,6
20111110112238,6
20100403100042,5
20050201051850,2
20170302170644,1
20160302160917,5
20141110140667,1
20121109121426,3
20060112051692,1
20100604102452,3
20180605182437,1
20051109050992,6
20180504181531,2
20170505172213,5
20160402161262,1
20141211141946,3
20090112080885,2
20090807090097,6
20150705150841,6
20160806161329,2
20150112140544,1
20130504130889,1
20050908050036,6
20150707151692,1
20130504130011,2
20140605142301,1
20061009060536,6
20160302161758,6
20160403162331,2
20030604030507,4
20110706111702,3
20050504052399,1
20130402130705,6
20090706092062,1
20140301142031,6
20111211111222,4
20130201131436,2
20110808111216,2
20060908061430,2
20170806171850,2
20170112160641,5
20171110172011,2
20101009101134,1
20150707150570,4
20070807072302,2
20120401120840,3
20140201141788,4
20111008110808,1
20170403172041,1
20100807100818,5
20050807050022,1
20160707161831,6
20141110140585,6
20080112070127,6
20080201082385,6
20091009090662,3
20080909080880,1
20100807100582,1
20090807092491,1
20120605121192,2
20071110072392,6
20171009171750,1
20050112041432,2
20150504151149,1
20110504110996,1
20060503061238,1
20050504050818,6
20060808062097,3
20151211152330,6
20180808180944,1
20131009132462,6
20110807112156,1
20140302141295,6
20080908080606,1
20170605171857,5
20041010041764,1
20180807180693,6
20091009090540,5
20040707041756,2
20030112020983,5
20090807091629,5
20050908052499,1
20061009061935,2
20120112112509,2
20080605080164,3
20120403121028,1
20110302112175,6
20060605061512,1
20080504082450,2
20120505120042,2
20140111131603,2
20160808161235,5
20130302132198,6
20031009032377,5
20110807112369,6
20071009071104,1
20031211031552,1
20110201110541,2
20090807092499,6
20161110160678,1
20070505072691,1
20100404100524,6
20160807161483,2
20031211030575,2
20120302120869,5
20091211091467,5
20180402182121,1
20120807122396,5
20131010131046,3
20060302062560,2
20130908130736,6
20071009071569,3
20031211033528,2
20041009042314,3
20071110070811,2
20130807131254,5
20151009151022,5
20160705162373,2
20111009112322,6
20040908042224,2
20110605111477,5
20161110161380,1
20120605120082,2
20090606092520,6
20080706081102,1
20150303150947,6
20130706130872,2
20060505060564,6
20090504092391,6
20081009081637,1
20130111121141,2
20100201102283,3
20080605081262,1
20170303172165,1
20080605082089,2
20091009091044,5
20130302131336,5
20160706161370,2
20141009141230,2
20170908170851,1
20100504100601,5
20100908101925,1
20161009161602,5
20130302131646,5
20180504182359,1
20160301161774,2
20150705150087,6
20170706172364,1
20150403150081,6
20050706052527,6
20031008033140,1
20040402042325,2
20120504120608,6
20150505150791,6
20121008121801,2
20170403172174,6
20121010121461,5
20030605031446,6
20140202141057,6
20150705152450,6
20110112100972,5
20140504142234,4
20140504142510,5
20070908071576,1
20121008121504,3
20110112101485,3
20040705041987,2
20130605130072,1
20080403081154,5
20171211170646,5
20160504162259,6
20070201071686,6
20180806180055,5
20030201031492,5
20120806121412,2
20171211171981,6
20090403090988,6
